geo_point_2d;geo_shape;objid;id_entsorg;kategorie;name;beschreibu;adresse;plz;ortschaft;telefon;www_link;oeffnungsz;zustaendig
47.5517481687, 7.59460445144;"{""type"": ""Point"", ""coordinates"": [7.59460445144238, 47.55174816865183]}";227;16020;Verkauf Vignette Basel;Coop AESCHENPLATZ;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Aeschenvorstadt 75;4051;Basel;+41 (0) 61 270 94 00;;;Amt für Umwelt und Energie Basel-Stadt
47.5551654234, 7.61374226137;"{""type"": ""Point"", ""coordinates"": [7.613742261367216, 47.555165423371335]}";231;16024;Verkauf Vignette Basel;Coop BREITE;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Farnsburgerstrasse 37;4052;Basel;+41 (0) 61 317 95 30;;;Amt für Umwelt und Energie Basel-Stadt
47.5431214655, 7.59323516441;"{""type"": ""Point"", ""coordinates"": [7.593235164407797, 47.54312146553155]}";234;16027;Verkauf Vignette Basel;Coop GUNDELI / Kiosk;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Güterstrasse 190;4053;Basel;+41 (0) 61 366 96 20;;;Amt für Umwelt und Energie Basel-Stadt
47.5690799109, 7.59053080543;"{""type"": ""Point"", ""coordinates"": [7.590530805430732, 47.56907991090041]}";238;16031;Verkauf Vignette Basel;Coop KLYBECK;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Klybeckstrasse 142;4057;Basel;+41 (0) 61 685 93 70;;;Amt für Umwelt und Energie Basel-Stadt
47.5702761796, 7.60991178283;"{""type"": ""Point"", ""coordinates"": [7.609911782834099, 47.57027617964186]}";240;16033;Verkauf Vignette Basel;Coop SCHORENWEG;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Schorenweg 19;4058;Basel;+41 (0) 61 692 14 12;;;Amt für Umwelt und Energie Basel-Stadt
47.5471362195, 7.62087371783;"{""type"": ""Point"", ""coordinates"": [7.620873717830825, 47.547136219545976]}";248;16041;Verkauf Vignette Basel;K Kiosk REDING;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Lehenmattstrasse 260;4052;Basel;;;;Amt für Umwelt und Energie Basel-Stadt
47.5622504941, 7.57287334399;"{""type"": ""Point"", ""coordinates"": [7.572873343987735, 47.56225049411081]}";250;16043;Verkauf Vignette Basel;Migros BASEL BURGFELDER;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Burgfelderstrasse 11;4055;Basel;+41 (0) 58 575 89 00;;;Amt für Umwelt und Energie Basel-Stadt
47.5527921452, 7.59277950387;"{""type"": ""Point"", ""coordinates"": [7.592779503874612, 47.55279214519573]}";252;16045;Verkauf Vignette Basel;Migros BASEL DRACHEN CENTER;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Aeschenvorstadt 24;4051;Basel;+41 (0) 58 575 87 50;;;Amt für Umwelt und Energie Basel-Stadt
47.5493051982, 7.60721701099;"{""type"": ""Point"", ""coordinates"": [7.607217010990317, 47.549305198248945]}";256;16049;Verkauf Vignette Basel;Migros BASEL HARDSTRASSE;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Hardstrasse 105;4052;Basel;+41 (0) 58 575 80 60;;;Amt für Umwelt und Energie Basel-Stadt
47.5586540462, 7.60163643886;"{""type"": ""Point"", ""coordinates"": [7.601636438859209, 47.55865404615861]}";261;16054;Verkauf Vignette Basel;Migros BASEL JUNIOR MARKT;Verkauf von Sperrgut- und Grüngutvignetten für Basel;Grenzacherstrasse 62;4058;Basel;+41 (0) 58 575 88 40;;;Amt für Umwelt und Energie Basel-Stadt
